ID,QID40,QID39,QID34,QID28_1,QID28_2,QID28_3,QID28_4,QID28_5,QID28_6,QID41_1,QID41_2,QID41_3,QID41_4,QID41_5,QID41_6
R_5lzyUgBzXycC1AR,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,4,4,5,4,3,5,4,3,3,2,3,4
R_7wEMPBUNW3ftuaL,Fields Corner,,5 to 7 years,5,5,4,4,5,4,4,4,4,4,4,4
R_5oiDfdy94xUwh8a,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",1 to 2 years,4,5,4,5,5,4,3,4,3,4,3,2
R_6pMkpOYNUWxs4fl,Connolly,,1 to 2 years,4,4,4,5,5,4,2,3,2,4,4,3
R_1Vkd89BPW8q6X2K,Central,"Communications, IT, AV",Less than 1 year,2,5,3,5,5,3,3,5,5,5,5,3
R_1ebhJ7hjfYv8sPD,Roxbury,,11 to 20 years,5,4,5,5,5,5,3,3,4,2,4,4
R_56pasJ5OgVEjPgd,Chinatown,,1 to 2 years,5,3,4,5,5,5,4,4,2,2,4,2
R_6uwZ4WLicjLdsjm,Charlestown,,5 to 7 years,3,3,3,5,5,5,3,3,1,5,5,5
R_5bt5pUbRk98x5U5,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",5 to 7 years,5,5,5,5,5,5,2,3,2,1,3,2
R_3QEr86YOzL70IAA,West End,,11 to 20 years,4,4,3,5,5,3,4,4,4,4,5,5
R_38oIF4weH8ZmTEl,Brighton,,More than 20 years,5,5,5,5,5,5,5,5,5,5,4,5
R_5jv9Xxz4Izn7PJp,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",3 to 4 years,5,5,4,5,5,5,3,3,2,3,3,4
R_7qjTggakNvSmuOn,Central,President's Office,3 to 4 years,3,3,3,3,3,3,4,4,4,4,4,4
R_52QkZUY7qQqKpH4,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",More than 20 years,5,4,4,4,4,5,4,4,3,2,1,5
R_3Bu4Fk9BFU47efy,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",1 to 2 years,3,5,5,5,5,5,3,5,4,4,5,4
R_6BWUJv21hdi5fQO,Central,"Communications, IT, AV",3 to 4 years,3,1,1,5,2,2,2,5,3,1,3,1
R_7HeoCB7xvlVly3H,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",8 to 10 years,5,5,5,5,5,5,4,4,4,4,4,4
R_6aJokffPz6vdW9G,Brighton,,5 to 7 years,5,4,3,4,5,5,4,3,3,3,4,4
R_5NrnRnKj4SMZZ6g,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,4,3,2,2,4,2,3,4,3,2,3,3
R_5wvf1jiXLitFXFv,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",11 to 20 years,5,3,4,5,5,5,5,4,4,5,5,5
R_6qwIrwkmSMyFyyr,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",Less than 1 year,3,5,1,3,5,3,3,4,3,3,3,3
R_534vZdTvnKzeZq1,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,5,5,4,5,5,5,5,5,3,2,5,4
R_6OqtysxHbIq7phG,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",More than 20 years,2,5,5,3,5,2,5,5,5,5,5,5
R_7KPxzaRAGRz8rAy,Central,"Library Services (Administration, Welcome Services, Volunteer Coordination, Training)",More than 20 years,3,5,5,3,3,3,5,5,5,5,5,5
R_1gY81WKylK9Bkyd,West Roxbury,,11 to 20 years,3,3,3,3,4,4,4,4,4,5,5,5
R_7saUDwyJtgFUzIF,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",3 to 4 years,3,3,3,4,3,5,3,3,3,3,1,3
R_6DJ7qjevHJIXGlX,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,5,5,3,5,3,3,3,3,3,4,3,4
R_1T7Azm67A9hAojT,Faneuil,,Less than 1 year,5,5,5,5,5,5,4,5,5,4,5,5
R_67PcSHxi658gEGw,Central,"Library Services (Administration, Welcome Services, Volunteer Coordination, Training)",3 to 4 years,5,4,3,5,4,3,3,3,3,3,5,5
R_52VAlg3SGG7CSzr,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,4,5,3,5,5,5,3,3,2,4,3,4
R_1D78A7E9Neongdq,Faneuil,,11 to 20 years,5,5,5,5,5,5,5,5,5,5,5,5
R_5IDTqK1WbT9J1H3,Fields Corner,,More than 20 years,4,4,4,5,5,4,4,4,4,4,5,5
R_6V2csInhlcbEiv7,Lower Mills,,More than 20 years,5,5,5,5,5,5,4,4,4,4,4,5
R_15cpd14A9E2LwFH,Fields Corner,,More than 20 years,5,5,2,4,3,3,3,3,3,3,3,3
R_7E6TD9szMPh0Nh4,Faneuil,,More than 20 years,4,4,4,3,5,5,5,5,4,4,5,4
R_7CQHLOruslaN0Ti,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",More than 20 years,3,5,4,5,5,5,4,5,2,5,5,5
R_7jWt8dxuku3fzgt,West End,,Less than 1 year,5,4,3,5,5,5,4,3,3,4,4,3
R_5f7wuPhZpFPxa59,Parker Hill,,1 to 2 years,3,4,3,4,4,5,3,3,2,4,4,3
R_5KGfb0DOIQxmEkF,West End,,More than 20 years,5,5,5,4,4,5,4,4,4,4,4,5
R_6bZ7N5dBpjNnwdz,Mattapan,,More than 20 years,2,4,4,3,4,4,4,3,4,2,4,3
R_5e8MNYDaX1ZhXlA,West End,,More than 20 years,5,3,4,5,5,5,5,5,4,5,5,4
R_3aEllCZAHiZGTFP,West End,,Less than 1 year,5,3,4,5,5,4,4,5,4,3,2,3
R_6jDyGVPbn88alUJ,South Boston,,More than 20 years,4,5,4,5,5,4,4,4,4,4,4,4
R_6F5vwicw0Eilv0G,Central,President's Office,11 to 20 years,3,5,4,4,4,3,4,3,4,4,5,3
R_53k04y4OhJ5Dtq9,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",5 to 7 years,5,5,4,5,4,4,3,4,4,3,2,2
R_3qlVMQN3NlKgV8S,Mattapan,,3 to 4 years,5,4,4,5,5,5,4,3,3,4,5,4
R_752I0FOZDjUFEjL,Egleston Square,,Less than 1 year,5,4,5,5,5,4,4,4,3,3,4,3
R_78Svqe4JwK4ROut,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",3 to 4 years,5,4,1,1,2,3,5,3,3,3,2,3
R_1EooPaHxQ5k79Yv,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",Less than 1 year,5,5,5,5,5,5,3,3,3,3,3,3
R_7nSF7uLLZfPXpLN,Faneuil,,1 to 2 years,2,4,2,5,4,4,2,5,4,5,4,4
R_6JFPDbJdQkccWlz,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",1 to 2 years,5,5,5,4,5,5,3,4,3,4,3,4
R_301td3pBmKSgv9a,Central,"Communications, IT, AV",1 to 2 years,5,5,5,4,5,5,5,4,4,5,5,5
R_66vVbUC1cfHGf17,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",Less than 1 year,3,5,3,3,5,5,3,3,2,3,4,2
R_3hFIe1j4wGHvSSJ,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,5,5,3,1,5,5,2,4,1,1,4,3
R_5hSfEBlzGeNHoKl,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",Less than 1 year,2,3,2,5,5,4,4,2,2,4,4,4
R_3PKT6SOPqFt5wWU,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",More than 20 years,3,5,5,1,3,2,4,4,1,2,1,3
R_8jUqgqqrjK9xqnN,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",11 to 20 years,4,4,3,4,5,4,3,4,3,2,4,4
R_3M3elCMiQyAknTl,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",More than 20 years,4,3,4,3,2,4,4,5,4,4,3,5
R_6QWhRRV0eeJQV8o,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",1 to 2 years,5,5,4,5,5,4,3,5,4,5,3,5
R_3EokrEocc1uZRNl,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,4,5,3,5,5,5,2,4,3,3,4,3
R_3ZX0DuulsPhHMcz,Mattapan,,11 to 20 years,5,3,3,2,5,5,4,4,2,5,4,5
R_6gUvKnSvPKu6ZLc,Chinatown,,8 to 10 years,5,5,5,5,5,5,4,4,4,4,4,4
R_5PaEwxD4owT7Saq,------------------------------------------------------------------------------,,3 to 4 years,4,5,4,5,5,5,5,4,4,4,5,3
R_7IclbKAhRBwqDMr,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",8 to 10 years,1,5,5,3,3,2,4,5,5,5,4,5
R_7fJ5bie5GzZXymL,West End,,Less than 1 year,5,4,4,5,5,5,5,5,4,5,5,5
R_6VaOQEGQ945hHH5,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",1 to 2 years,4,3,2,3,4,4,4,4,3,4,5,4
R_1x5FSlnOpbp3xE5,Hyde Park,,1 to 2 years,5,4,4,5,5,4,5,4,3,5,4,4
R_5R8JMUv6o0vmH8d,Chinatown,,11 to 20 years,5,5,5,5,5,5,5,5,5,5,5,5
R_6sYsMmUUafbNdrb,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,5,5,5,5,5,5,3,4,4,3,3,3
R_52FZEbv4W6bYZVY,Central,"Communications, IT, AV",5 to 7 years,4,4,3,5,4,4,2,3,3,2,3,3
R_5DUuWeRy9rS4SLT,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",1 to 2 years,3,4,3,5,5,4,4,5,4,5,4,5
R_3kKUmtNHrbO6Q7z,South Boston,,3 to 4 years,5,5,5,5,5,5,2,4,4,4,3,3
R_12QLQtACgQSAng6,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",3 to 4 years,5,2,5,5,5,5,4,4,4,4,5,5
R_1Pk3oCeRESDO92c,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,5,5,2,3,5,5,1,4,2,,3,5
R_6EM8RVqo6mzY2LJ,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",More than 20 years,4,4,4,4,4,4,4,5,5,4,3,4
R_8MBdQcp4g5PftsZ,Central,"Youth Services (Teen Central, Children's Library, Outreach, etc.)",11 to 20 years,4,5,5,4,5,4,4,4,4,4,4,4
R_5LuphAX25ir7cMl,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",11 to 20 years,5,5,3,5,5,4,3,3,2,5,4,3
R_5MTQxHQbKbLe1H3,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",11 to 20 years,4,4,5,4,5,5,4,4,3,4,4,4
R_38jlUR2WzGKpvep,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",1 to 2 years,4,3,3,3,3,3,3,3,3,3,3,3
R_3KTONiEXcea4Quh,West Roxbury,,5 to 7 years,3,5,4,5,4,4,4,5,4,5,5,5
R_7OkONVJ3ayDL6TG,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,3,4,3,5,5,5,3,2,2,5,1,5
R_3FE9RdJljvN3eZv,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",More than 20 years,4,4,4,4,4,4,4,4,4,4,4,4
R_5lKJr2XtdYMVWlr,Codman Square,,Less than 1 year,5,5,5,5,5,5,4,3,3,4,4,4
R_5D6Y75mypLLgIkC,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,5,5,5,5,4,5,5,5,4,5,4,5
R_3e2m86bB2J8hQA1,Central,The Associates / Special Collections,3 to 4 years,4,5,2,5,5,5,2,4,1,2,2,4
R_5Lv2RokGBeR4HOD,Central,The Associates / Special Collections,Less than 1 year,5,5,5,5,5,5,3,4,3,1,2,3
R_7lsq9PbDBlHmJVd,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",Less than 1 year,4,5,4,4,4,5,3,4,4,4,4,3
R_3ukvlHiM9L2ra2R,North End,,11 to 20 years,5,5,5,5,5,5,3,4,3,3,4,4
R_7egWvN8J1PePnvc,------------------------------------------------------------------------------,,8 to 10 years,5,2,1,5,5,4,4,3,3,,4,4
R_5CNH1XPMXIOktna,South Boston,,1 to 2 years,5,5,4,5,5,4,5,5,4,5,5,4
R_5kv1iBBvvDLJBtJ,Jamaica Plain,,3 to 4 years,3,4,4,5,5,5,2,4,5,5,5,5
R_1WNgWl8B55N3fiw,Grove Hall,,1 to 2 years,5,5,2,5,5,4,4,3,3,3,3,3
R_124NqQ7sGZ3Tuq2,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",More than 20 years,5,4,3,5,5,4,4,4,4,4,4,4
R_7dJ6a8xgtzPDqKJ,Central,"Communications, IT, AV",3 to 4 years,5,5,5,5,5,5,5,5,5,5,5,5
R_14Nt6pXULnBLiHD,Charlestown,,More than 20 years,4,4,4,4,4,,2,3,4,2,2,2
R_34u5Z8H11vdU3yB,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",3 to 4 years,4,5,3,3,5,4,3,4,3,2,2,2
R_6w0vEC2EPjFHhB2,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",1 to 2 years,3,3,3,5,4,4,2,2,2,4,4,3
R_74Og5NzAugQpQAv,Honan-Allston,,More than 20 years,5,5,5,5,5,5,5,4,3,5,5,4
R_1U5gGPtoACmLOfC,Central,LMEC,5 to 7 years,5,5,2,1,3,4,4,4,3,2,3,3
R_3dNfHatnfnJOkbd,Brighton,,5 to 7 years,5,5,3,5,5,5,4,4,3,3,3,3
R_70e4F6nIz2p7Apw,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",More than 20 years,4,4,3,5,5,4,4,4,4,5,4,5
R_5g8BtKTCiJ1hFv3,Connolly,,3 to 4 years,5,5,5,3,5,4,5,4,4,4,5,4
R_1Oc5VJ0aKZsHK0a,Connolly,,More than 20 years,5,5,5,5,5,5,5,5,5,5,5,3
R_5t95I8G23wJj225,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",5 to 7 years,5,1,1,5,5,5,5,5,2,5,5,5
R_1ScLArWlsK8kPrB,Honan-Allston,,More than 20 years,5,5,5,5,5,5,5,5,5,5,5,5
R_6ffAHwjgpSBvPVv,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",1 to 2 years,3,3,3,5,5,4,2,2,2,3,3,2
R_1Txn1dhUn9vb8WJ,Mattapan,,1 to 2 years,5,5,5,5,5,5,5,5,5,5,5,5
R_3X6WtK7R0oUhMUF,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",Less than 1 year,5,5,5,5,5,5,3,4,3,2,3,3
R_5sYbjhDS96R2rnu,Central,"Facilities, Shipping, Events, Security, Project Management, HR, Business & Accounting",11 to 20 years,4,4,4,4,4,5,4,4,4,4,4,4
R_178Ppzg5rmVudPP,Central,"Adult Library Services (KBLIC, Community Learning, Community History, Programs, Tech Central, etc.)",1 to 2 years,5,5,5,5,5,5,5,5,5,5,5,5
R_6pPPVkEI9mhT1xI,Central,"Communications, IT, AV",Less than 1 year,2,5,3,5,5,4,2,5,4,5,5,5
R_6PjVD6WrlUsa9tT,Central,"Library Services (Administration, Welcome Services, Volunteer Coordination, Training)",More than 20 years,5,5,5,5,5,5,5,5,5,5,5,5
R_1Qs0gh0zM4nokIj,Central,"Youth Services (Teen Central, Children's Library, Outreach, etc.)",5 to 7 years,5,4,5,5,5,5,3,2,4,3,5,4
R_3ZQ3878PXoc6biV,Codman Square,,More than 20 years,5,5,5,5,5,5,5,5,5,5,5,5
R_3mUUu09zNiOKvzm,Central,"Youth Services (Teen Central, Children's Library, Outreach, etc.)",5 to 7 years,3,4,3,4,4,3,2,3,2,2,1,1
R_5OoSn6e7AeyTiy3,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",Less than 1 year,5,5,5,5,5,5,2,4,4,4,2,2
R_3zhxyW759SQrjC9,Lower Mills,,1 to 2 years,5,5,5,5,5,5,2,3,3,4,4,
R_5G0nCyal7Ds0c4l,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",More than 20 years,5,5,5,5,4,5,4,4,5,4,4,5
R_1I0lreRyDnS0pjT,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,3,5,4,3,5,4,2,2,2,2,2,2
R_6YCVGiCY1dv5Q0J,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,5,5,5,5,5,5,5,4,4,4,4,5
R_5mRgqLeaKkc4xSR,Honan-Allston,,Less than 1 year,4,5,5,4,4,5,3,4,3,4,5,3
R_6o37X4RS2pWgCLn,Central,LMEC,Less than 1 year,4,5,4,5,3,4,,,,,,
R_1FDNIsJQUKlDIzF,Jamaica Plain,,1 to 2 years,5,5,5,5,5,5,3,4,4,4,4,4
R_6gMggSOwkqwt46d,North End,,3 to 4 years,5,5,3,3,4,3,5,5,3,3,5,3
R_3ZBPHzqNQ16Oy9b,Codman Square,,More than 20 years,5,5,5,5,5,5,4,4,,5,5,4
R_6uyePPLEzJ09Puq,Central,The Associates / Special Collections,Less than 1 year,5,5,3,3,4,3,3,3,2,5,4,3
R_12W546x2YPYl2L1,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,3,4,4,5,4,4,3,3,3,4,4,4
R_7GHdSeQPICoChMu,Brighton,,5 to 7 years,4,4,4,5,5,5,1,4,2,4,4,3
