ID,Q2,Q3,Q3.17.s,Q4,Q5,Q6.1,Q6.2,Q6.3,Q7.1,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q9.1,Q9.2,Q9.3,Q10.1,Q10.2,Q10.3,Q11.1,Q11.2,Q11.3,Q12.1,Q12.2,Q12.3,Q12.4,Q13.1,Q13.2,Q13.3,Q13.4,Q14.1,Q14.2,Q14.3,Q15.1,Q15.2,Q15.3,Q16.1,Q16.2,Q16.3,Q16.4,Q17.1,Q17.2,Q17.3,Q17.4,Q18.1,Q18.2,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q19.1,Q19.2,Q19.3,Q19.4,Q19.5,Q19.6,Q19.7,Q20.1,Q20.2,Q20.3,Q20.4,Q20.5,Q20.6,Q20.7,Q21.1,Q21.2,Q21.3,Q21.4,Q21.5,Q21.6,Q21.7,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
14,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full time (5 days) working remotely,1,1,1,5,5,5,1,1,1,5,5,5,1,1,1,5,5,5,1,1,1,1,5,5,5,5,1,2,5,5,5,5,3,1,3,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,3,4,4,3,3,2,5,5,5,5,5,5,5,38,35-44,Female,Owned house,"$25,000 - $49,999",Single / Never married,White,Full-time work,University/Higher Education,New Jersey,Northeast
16,I worked in an office environment some of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Executive Leadership,"3 days working remotely, 2 days in the office",4,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,5,3,4,4,4,5,4,5,4,4,4,4,3,5,5,5,5,5,4,43,35-44,Male,Owned house,"$100,000 - $149,999",Married,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
17,I worked in an office environment most of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Director,"3 days working remotely, 2 days in the office",1,1,1,4,4,5,2,1,1,5,4,5,4,5,5,4,5,4,5,4,5,4,4,5,4,5,5,5,4,4,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,4,30,25-34,Male,Owned house,"$100,000 - $149,999",Married,Asian,Full-time work,University/Higher Education,Georgia,South
18,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Director,"3 days working remotely, 2 days in the office",4,5,4,5,5,5,5,4,4,5,4,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,4,4,5,3,3,4,3,4,5,2,4,5,5,2,4,4,2,2,4,4,4,5,4,2,5,5,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,37,35-44,Male,Owned house,"$50,000 - $79,999",Single / Never married,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
19,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full time (5 days) working remotely,4,5,4,5,5,5,4,5,4,5,5,5,5,4,4,5,5,5,4,2,3,5,5,5,5,5,5,5,4,5,5,3,5,5,4,3,5,5,5,5,2,5,4,2,2,2,3,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,51,45-54,Female,Owned house,"$50,000 - $79,999",Single / Never married,White,Full-time work,University/Higher Education,Tennessee,South
22,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Professional Staff,Full-time (5 days) in the office,1,1,4,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,53,45-54,Female,Rented apartment,"$50,000 - $79,999",Divorced,White,Full-time work,University/Higher Education,Texas,South
23,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Manager,Full-time (5 days) in the office,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,3,3,4,4,3,3,4,3,4,4,3,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,3,3,4,3,3,4,3,4,3,3,25,25-34,Male,Living with my parents,"$25,000 - $49,999",Domestic partnership / Living with partner,White,Full-time work,University/Higher Education,Texas,South
24,I worked in an office environment some of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Director,Full time (5 days) working remotely,4,4,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,18-24,Female,Owned apartment,#NULL!,Single / Never married,Other,Full-time work,High school/Tertiary/Tech. College,Pennsylvania,Northeast
26,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Manager,Full time (5 days) working remotely,3,4,4,5,4,4,4,3,4,3,4,4,5,4,4,5,4,4,5,4,3,4,4,5,4,4,5,4,3,5,4,3,5,3,5,4,5,4,4,3,4,4,4,4,3,5,4,4,3,5,4,5,4,3,4,4,4,5,5,4,4,4,4,4,4,3,3,4,28,25-34,Male,Rented house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Georgia,South
27,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Manager,Full time (5 days) working remotely,5,4,5,4,4,5,4,4,4,4,4,5,4,3,4,3,4,4,4,4,5,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,5,4,4,4,4,3,4,4,4,4,4,4,5,3,4,4,4,4,3,4,4,3,5,4,46,45-54,Male,Rented apartment,"$25,000 - $49,999",Married,White,Full-time work,High school/Tertiary/Tech. College,Missouri,Midwest
28,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Technical Staff,Full time (5 days) working remotely,4,4,2,3,4,5,4,3,2,5,4,4,5,4,2,4,3,5,2,2,4,4,5,4,3,4,2,3,4,5,3,4,3,5,2,2,5,4,5,5,3,5,3,5,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,63,55-99,Male,Owned house,"$80,000 - $99,999",Married,White,Full-time work,High school/Tertiary/Tech. College,Wisconsin,Midwest
29,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Manager,"3 days working remotely, 2 days in the office",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,5,5,4,5,4,4,5,5,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,5,5,5,4,4,5,5,4,28,25-34,Male,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,New York,Northeast
30,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Technical Staff,Full-time (5 days) in the office,3,4,4,3,4,4,3,5,3,4,4,3,3,2,3,4,2,4,3,2,2,3,5,3,4,4,4,4,4,5,5,3,4,4,4,4,5,4,5,5,2,3,3,2,2,1,2,5,4,4,5,4,5,5,3,3,4,3,3,3,3,4,4,5,4,5,4,5,42,35-44,Female,Rented apartment,"$25,000 - $49,999",Single / Never married,White,Full-time work,University/Higher Education,Texas,South
31,I worked in an office environment all of the time,"Energy (e.g. Gas/Oil, Mining, Utilities, Alternative Energy)",,Manager,Full time (5 days) working remotely,5,4,4,4,4,5,4,5,4,4,3,4,3,4,4,3,3,4,4,5,4,4,3,4,3,3,4,3,4,4,3,1,3,4,2,5,4,4,3,3,3,4,4,4,3,4,3,4,4,2,3,3,4,4,5,4,5,3,1,4,3,5,4,2,4,3,4,3,32,25-34,Male,Owned house,"$25,000 - $49,999",Single / Never married,White,Full-time work,High school/Tertiary/Tech. College,Illinois,Midwest
33,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Manager,Full time (5 days) working remotely,4,4,5,4,5,5,4,5,4,5,4,3,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,3,3,3,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,3,28,25-34,Female,Rented apartment,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Iowa,Midwest
34,I worked in an office environment all of the time,"Hospitality (e.g. Hotel, Leisure, Travel)",,Administrative or Support Staff,Full-time (5 days) in the office,3,3,3,5,5,5,5,5,5,5,5,5,2,3,2,5,5,5,3,2,3,3,5,5,5,4,5,5,5,5,5,5,3,3,3,3,5,5,5,5,4,4,4,4,3,4,3,5,5,5,5,4,5,5,4,4,4,3,4,5,4,5,5,5,5,5,5,5,30,25-34,Female,Rented house,"$25,000 - $49,999",Married,American Indian or Alaska Native,Full-time work,University/Higher Education,Alabama,South
37,I worked in an office environment most of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Partner/Vice President,"1 day working remotely, 4 days in the office",4,5,5,3,4,4,4,5,4,4,4,5,4,4,4,5,4,5,5,4,5,4,4,5,4,4,5,4,4,4,5,5,4,4,5,4,4,5,4,4,3,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,3,5,4,5,4,4,5,5,4,5,4,4,49,45-54,Male,Owned house,"$150,000 - $199,999",Married,White,Full-time work,University/Higher Education,North Carolina,South
38,I worked in an office environment all of the time,"Consumer Goods (e.g. Commercial Goods, Fashion & Beauty, Food & Beverage, Automotive, Personal Electronics)",,Manager,Full-time (5 days) in the office,3,4,4,2,4,5,4,3,3,3,2,2,4,3,3,2,2,3,3,2,4,4,3,2,4,4,4,3,3,3,1,2,4,4,5,3,2,5,4,3,3,5,2,3,4,2,3,3,4,3,2,2,1,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,27,25-34,Male,Rented house,"$15,000 - $24,999",Married,White,Full-time work,High school/Tertiary/Tech. College,Arizona,West
39,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Manager,Full time (5 days) working remotely,2,4,2,4,5,5,2,4,2,4,3,4,2,2,2,3,3,4,2,3,3,2,5,4,4,3,2,2,2,4,3,4,2,3,2,2,4,5,5,4,4,4,4,4,2,2,2,5,3,3,5,5,2,3,4,4,4,4,2,4,4,4,3,3,5,5,3,4,47,45-54,Male,Owned house,"$25,000 - $49,999",Married,White,Full-time work,University/Higher Education,Ohio,Midwest
41,I worked in an office environment most of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Professional Staff,Full-time (5 days) in the office,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3,2,4,4,3,4,3,4,4,40,35-44,Male,Owned house,"$100,000 - $149,999",Married,White,Full-time work,University/Higher Education,Florida,South
43,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Manager,Full time (5 days) working remotely,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59,55-99,Male,Owned house,"$150,000 - $199,999",Married,Hispanic or Latino,Full-time work,University/Higher Education,New York,Northeast
44,I worked in an office environment most of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Professional Staff,"4 days working remotely, 1 day in the office",4,4,4,3,3,5,4,4,4,5,4,4,4,4,5,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,4,3,5,3,4,4,4,4,4,5,4,4,3,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,25-34,Male,Owned house,"$50,000 - $79,999",Single / Never married,White,Full-time work,University/Higher Education,Virginia,South
45,I worked in an office environment most of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,"4 days working remotely, 1 day in the office",4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,22,18-24,Female,Rented apartment,"$15,000 - $24,999",Single / Never married,White,Full-time work,University/Higher Education,Oklahoma,South
47,I worked in an office environment some of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full time (5 days) working remotely,4,4,4,4,4,5,2,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,3,3,3,3,5,4,4,3,3,4,3,4,4,4,5,4,4,3,3,4,4,4,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,29,25-34,Female,Owned house,"$25,000 - $49,999",#NULL!,White,Full-time work,Postgraduate Education,Nevada,West
48,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Director,"1 day working remotely, 4 days in the office",5,4,4,4,4,5,5,4,4,4,2,3,4,5,4,3,3,4,4,5,4,4,4,4,3,4,4,4,4,3,3,4,4,4,2,4,2,5,3,3,4,5,2,4,5,4,4,3,2,3,4,4,2,2,4,4,5,5,4,5,4,3,3,3,4,5,3,2,55,55-99,Male,Owned apartment,"$80,000 - $99,999",Married,White,Full-time work,University/Higher Education,Illinois,Midwest
50,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Manager,"1 day working remotely, 4 days in the office",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,4,3,3,4,4,3,2,4,3,4,3,3,2,48,45-54,Male,Owned house,"$50,000 - $79,999",Married,White,Full-time work,High school/Tertiary/Tech. College,New York,Northeast
51,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Manager,Full time (5 days) working remotely,3,4,4,2,4,4,3,3,2,3,2,3,4,4,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,2,2,4,3,1,2,4,4,4,2,1,1,3,2,4,2,2,3,2,1,4,3,2,3,4,4,4,5,4,4,4,3,2,2,4,4,2,3,34,25-34,Male,Rented apartment,"$100,000 - $149,999",Single / Never married,White,Full-time work,University/Higher Education,Texas,South
52,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Director,Full time (5 days) working remotely,5,5,5,5,4,5,4,5,4,5,5,4,5,5,4,4,5,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4,5,4,5,4,4,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4,4,5,5,5,5,4,5,5,4,5,4,36,35-44,Female,Owned house,"$100,000 - $149,999",Married,White,Full-time work,University/Higher Education,Florida,South
53,I worked in an office environment some of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full time (5 days) working remotely,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,4,5,5,3,5,4,5,1,2,4,5,5,5,5,5,5,5,4,5,5,5,5,4,3,3,5,3,5,3,5,5,3,3,1,4,4,2,4,5,5,5,5,4,5,5,4,5,4,5,5,5,5,42,35-44,Female,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,North Carolina,South
56,I worked in an office environment most of the time,"Consumer Goods (e.g. Commercial Goods, Fashion & Beauty, Food & Beverage, Automotive, Personal Electronics)",,Technical Staff,Full time (5 days) working remotely,5,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,4,5,5,4,22,18-24,Female,Owned house,"$100,000 - $149,999",Married,American Indian or Alaska Native,Full-time work,University/Higher Education,Washington,West
59,I worked in an office environment most of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Director,"2 days working remotely, 3 days in the office",5,5,5,4,5,5,5,5,4,4,5,4,4,5,4,5,4,4,5,4,4,4,5,4,4,5,5,4,5,4,4,3,4,4,4,3,5,4,4,4,4,3,5,4,5,4,4,3,2,4,4,3,3,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,37,35-44,Male,Owned house,"$200,000 or more",Married,White,Full-time work,University/Higher Education,Illinois,Midwest
60,I worked in an office environment most of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Manager,"3 days working remotely, 2 days in the office",4,4,4,4,4,3,4,4,3,3,2,3,2,4,5,3,3,4,4,2,4,5,4,4,3,5,5,4,4,5,5,4,5,4,4,2,3,5,4,5,4,5,5,3,4,4,4,3,3,4,4,5,4,5,4,4,5,4,5,4,3,5,4,5,4,4,3,4,45,45-54,Male,Rented apartment,#NULL!,Married,White,Full-time work,Postgraduate Education,Pennsylvania,Northeast
61,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Director,Full time (5 days) working remotely,5,5,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,4,4,5,4,5,5,4,5,4,4,5,5,3,4,5,4,5,5,4,4,5,4,5,4,4,4,5,5,4,5,5,3,4,3,4,5,5,4,5,4,3,5,4,5,5,4,3,5,4,4,4,38,35-44,Female,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Florida,South
64,I worked in an office environment all of the time,Other (please specify),Security,Manager,Full time (5 days) working remotely,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,2,3,4,5,5,5,5,5,4,5,4,4,4,5,5,5,4,4,3,4,4,4,4,4,3,2,4,5,4,2,3,5,5,5,5,5,5,5,3,2,4,5,4,2,5,51,45-54,Female,Owned house,"$25,000 - $49,999",Divorced,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
65,I worked in an office environment some of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Director,Full time (5 days) working remotely,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,2,4,4,3,4,4,3,3,3,4,3,3,3,3,4,3,54,45-54,Female,Owned house,"$50,000 - $79,999",Married,Black or African American,Full-time work,University/Higher Education,Mississippi,South
66,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Professional Staff,Full time (5 days) working remotely,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4,5,5,5,4,4,4,4,4,5,4,4,4,3,4,5,4,4,3,5,5,4,4,5,2,4,4,4,4,4,4,3,5,4,5,4,4,4,3,4,5,5,3,4,5,34,25-34,Male,Rented apartment,"$50,000 - $79,999",Married,Black or African American,Full-time work,University/Higher Education,Minnesota,Midwest
70,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Technical Staff,Full time (5 days) working remotely,4,4,4,4,4,4,4,4,2,4,4,2,3,2,2,4,3,3,4,4,2,4,4,4,3,4,2,2,1,3,3,2,2,4,4,2,3,3,3,3,1,4,4,4,4,2,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,34,25-34,Male,Rented apartment,"$100,000 - $149,999",Domestic partnership / Living with partner,White,Full-time work,University/Higher Education,Oregon,West
73,I worked in an office environment all of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Professional Staff,Full time (5 days) working remotely,4,4,4,4,5,5,3,4,4,4,4,5,4,4,3,5,4,5,4,3,4,5,5,4,4,4,5,4,4,5,4,3,4,3,4,3,4,4,5,4,3,2,2,2,4,4,4,4,4,4,4,5,4,4,2,4,4,3,3,4,2,4,4,4,4,4,4,4,50,45-54,Female,Rented house,"$80,000 - $99,999",Married,White,Full-time work,University/Higher Education,Kentucky,South
74,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Administrative or Support Staff,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,4,5,4,1,4,3,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,47,45-54,Male,Owned house,"$25,000 - $49,999",Single / Never married,Black or African American,Full-time work,High school/Tertiary/Tech. College,Texas,South
75,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Manager,"4 days working remotely, 1 day in the office",4,4,4,4,5,5,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,2,2,2,4,5,4,4,3,4,3,2,4,3,4,4,4,2,4,3,3,2,4,5,2,3,4,4,4,4,4,5,4,4,4,4,5,5,2,4,24,18-24,Female,Rented apartment,"$25,000 - $49,999",#NULL!,White,Full-time work,University/Higher Education,Missouri,Midwest
